Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-23.1635084181266,-11.473492578412847,-27.47277163925377,-27.436599659782157,-10.954749055617715,-12.898649113788496,-10.792225343809442,-15.352226349842898,-6.343569686895673,-2.1838876416412627,0.08310703052383112,-2.9637087886834315,-1.222126798387105,-0.1752363982998716,5.353887100561989,-64.18002305816621,-89.86282761314175,-25.68280455493881,109.11143686470979,-51.3386207806783,-102.7042298905221,13.231215987979686,-116.54537882150595,-162.31593367464424,-168.08625893913893,-126.79969257023166,-102.45795542775168
0.002,-23.415394256334935,-11.63888112441174,-27.598818391900874,-27.377725756708635,-10.976656192020098,-12.95113581758412,-10.426247045123676,-15.227087687331196,-6.6005486773948405,-2.2486414950809914,-0.2225877794841139,-2.6542671576754624,-0.7947562779631856,-0.25579224915387483,4.919408171562397,-62.526637131838996,-88.80859589217907,-26.281958760303453,106.93093507790044,-49.38565775166868,-101.94957527224138,13.706390520678239,-115.94683973932473,-161.83713001419696,-167.34447785000364,-126.35911678418648,-102.54310457312866
0.004,-23.667280094543372,-11.804269670410699,-27.724865144548026,-27.318851853635092,-10.998563328422492,-13.003622521379768,-10.060268746437758,-15.10194902481944,-6.8575276678941135,-2.3133953485207472,-0.5282825894921847,-2.344825526667366,-0.3673857575390904,-0.33634810000791127,4.484929242562625,-61.443291001915966,-88.05457202937852,-26.611281027426077,105.47057701657633,-48.13765048818426,-101.36021254300182,14.261610296462154,-115.56825430120362,-161.50841202796238,-166.6727553094405,-125.99847647998536,-102.61805627885965
0.006,-23.919165932751707,-11.96965821640959,-27.85091189719513,-27.25997795056157,-11.020470464824877,-13.056109225175392,-9.694290447751992,-14.976810362307738,-7.114506658393281,-2.378149201960476,-0.8339773995001296,-2.035383895659397,0.0599847628848289,-0.4169039508619145,4.050450313563033,-61.05998497601587,-87.58075579419423,-26.52077081814198,104.85036287308328,-47.79959956692617,-100.84114120317513,14.906875309001707,-115.3996233148635,-161.27977982580896,-166.16109119105587,-125.80777200871344,-102.64281198107778
0.008,-24.097640701832287,-12.183830023466939,-27.928020428930754,-27.274586259518905,-11.140259253555227,-13.010577578668693,-9.475294896818287,-14.900781236864564,-7.371431257594092,-2.3939066761872474,-1.017180538367373,-1.7258966314075377,0.29160570705353495,-0.49733215068515924,3.738440363563929,-61.42671935673788,-87.19714694410268,-25.770427587328527,105.02529282875868,-48.54150556305485,-100.08236073767648,15.582185548223256,-115.26094758451654,-161.03123350719773,-165.6994853583853,-125.58700371735841,-102.48737311708325
0.01,-24.166530098251805,-12.470823707472903,-27.932075765287664,-27.398886140674048,-11.406162211095008,-12.818727705590623,-9.475709843218638,-14.89806104132538,-7.6282746634436815,-2.3365241384392195,-1.0175325678677039,-1.4163412475100503,0.23101880685993248,-0.5775697976946597,3.6092476489306975,-62.46349444165492,-86.89374522462197,-24.430250782930877,105.91036705393455,-50.24836905017066,-99.10887061599661,16.507541000340698,-114.86222791079867,-160.5827731611678,-165.06793766491458,-125.18617194881787,-101.99174112531651
0.012,-24.23541949467135,-12.757817391478984,-27.936131101644573,-27.523186021829243,-11.672065168634896,-12.626877832512475,-9.47612478961899,-14.895340845786198,-7.8851180692933776,-2.279141600691168,-1.0178845973680348,-1.1067858636124357,0.17043190666630512,-0.6578074447041932,3.4800549342974136,-64.72031052330776,-87.31055036933188,-22.59023984598805,108.37558570794151,-53.42519060029485,-98.60567029223472,17.3229416478872,-114.4334650907031,-160.13439886632366,-164.43644795410222,-124.76527704190758,-101.47591744533172
0.014,-24.304308891090898,-13.044811075485066,-27.940186438001483,-27.64748590298444,-11.937968126174786,-12.435027959434327,-9.476539736019342,-14.892620650247013,-8.141961475143074,-2.221759062943117,-1.0182366268683656,-0.7972304797148209,0.10984500647267773,-0.7380450917137267,3.3508622196641293,-67.35716788919949,-88.02756209989478,-20.670394210659303,111.37094893911387,-57.02197078385093,-98.36275920513287,18.018387469747143,-114.08465991751464,-159.796110690823,-163.945016059403,-124.45431933137053,-101.0199035177708
0.016,-24.242822589766238,-13.201260684375471,-27.832487021662093,-27.734546089154588,-12.185194153826629,-12.243119764746424,-9.607417464127218,-14.890006888867275,-8.342873355033968,-2.2202459203494826,-0.9999089155412839,-0.7670883264738348,-0.19282742273876796,-0.9485923433096044,3.2589621110568867,-69.2440668217908,-88.35478012607754,-19.110713304250854,113.42145688479576,-59.68871016964642,-97.91013677811102,18.713878441188324,-113.76581318074494,-159.4279086923669,-163.57364180429323,-124.0332991478871,-100.43370078433826
0.018000000000000002,-23.884566244572238,-13.060556977354697,-27.47040382495462,-27.73683874498286,-12.389906481470895,-12.051078814437505,-10.035263462553646,-14.887635400171122,-8.416470085708946,-2.345906500602997,-0.9390611057546158,-1.3729656013497689,-1.046551422985638,-1.4557591930271043,3.251949972507109,-70.0310075984956,-88.52220414577432,-18.49119654724292,114.29210967134816,-60.78540932485516,-97.76780241930345,19.349414533894368,-113.52692566606858,-159.0197929181906,-163.15232500229686,-123.46221681808578,-99.66731068777608
