A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-39.3073749863555,-86.58830105567937,-47.2809260693326,82.60152551410957,-15.666911951646547,-110.22876409025741,34.30890879003351,-33.22716422433576,-80.78723943179727,-115.03885495993414,-89.69117928729688,-76.47864878542785
-39.12740175314484,-85.18523633628037,-46.05783458314453,81.72001992119885,-16.09848446152951,-108.21415362776514,34.33020164804633,-33.326841514863254,-82.43007278829255,-117.15829704537924,-90.57755692031577,-76.71266360131676
-38.98738688148373,-83.88208640281974,-44.89469952134527,80.92843008280687,-16.540037120767618,-106.32943616340563,34.45144896666909,-33.31647042418767,-83.99283209706533,-119.2175955292145,-91.44380860912051,-76.92658145199232
-39.097292964976205,-83.13877451150371,-44.04148154653703,80.6666802206408,-17.076552191663808,-105.15951528468625,34.35260998621358,-33.42600727478935,-85.61545063086537,-121.46662149313273,-92.51982127936466,-77.30031517606558
-39.157086830700415,-82.50523239137905,-43.34814556068844,80.40970302630214,-17.483014050311898,-104.17930517163806,34.41364872819652,-33.415413094445924,-87.1178689853174,-123.57526070688407,-93.48549473086197,-77.67378741876689
-39.296739540468074,-81.94140024662308,-42.64466070616505,80.26743966369126,-17.974409187340836,-103.26373059962114,34.55453399666718,-33.27465361767522,-88.51003508106398,-125.61341363249204,-94.34074164139165,-78.04693063442906
-39.606226391923904,-81.64722675855113,-42.041000366637526,80.42983977111058,-18.58572620856001,-102.66772694178619,34.88523937935918,-32.9336992870071,-89.7619041656483,-127.5409954279302,-94.99548757001662,-78.37968708865881
-39.90552691948481,-81.55266908734154,-41.647142167867315,80.68186146306614,-19.08195583550559,-102.3762401711923,35.21574324866654,-32.50252525408429,-90.933438815137,-129.44793595025962,-95.58967095991443,-78.65200886019603
-40.23462489511883,-81.70769287347777,-41.4730679783698,81.08847133176774,-19.498090905887945,-102.44422686258054,35.526028762444,-31.981111380592072,-92.01460893548278,-131.19417975822694,-96.05324314072075,-78.92385784246129
-40.85350832896389,-82.20227223890774,-41.348763909954954,81.95464444832729,-20.179126373940008,-102.87665419380386,35.98608386463142,-31.27944223901692,-92.93539176362702,-132.67968611432266,-96.28616833038524,-79.21520574479109
-41.55216946978623,-82.92638978792031,-41.37422031814546,83.01536436365535,-20.86505931066666,-103.61349994691247,36.53590128570225,-30.467507113233946,-93.87577186834193,-134.19442898630007,-96.74842363653968,-79.5460340933611
-42.090604805278446,-83.57003660773898,-41.47943180247219,83.87562310905638,-21.35088890399507,-104.30975250889527,37.3654785429362,-29.415299998923196,-94.67574115081273,-135.48839704815418,-97.03999905737854,-79.85633423179708
-42.68881294695984,-84.39320803512594,-41.704395088178,84.88541696443073,-21.83661540282313,-105.24540557913592,38.094815551504375,-28.432817252865522,-95.59529518605459,-136.8615863415564,-97.4808910495075,-80.27610242111484
-43.1867925149964,-84.8858994228444,-41.69910690786017,85.62974222632602,-22.337239061018163,-105.73545287669624,39.07391223546615,-27.24005524215265,-96.42442956419926,-137.85399293701872,-97.65109609554716,-80.57533493950339
-43.75454213825772,-85.38810613982672,-41.633564001581426,86.44859520807799,-22.937760137418415,-106.20488814053998,39.962768527777285,-25.967010344346313,-97.14313989068592,-138.49561293406092,-97.56061070428017,-80.81402808246662
-44.21206045437362,-86.03982357134169,-41.82776311698075,87.23197223995086,-23.298178895834205,-106.9537051297554,40.741384370297375,-24.74367894763708,-97.77142178645151,-138.93644246137654,-97.53943141079682,-81.01217816296399
-44.55934610979027,-86.59104711916109,-42.03170100938374,87.8548696692767,-23.54349560504892,-107.60689762377706,41.39975971379698,-23.550057451002782,-98.27927088812052,-139.0664776769975,-97.5375547766396,-81.13978151155044
-44.91639775982593,-87.00177220172539,-42.08537444191262,88.41728386059401,-23.87371053881971,-108.0444594226066,42.087894517964216,-22.28614226436678,-98.59668284819422,-138.825714768457,-97.44497738994619,-81.24683447651563
-45.24321406872626,-87.15199425430882,-41.90878018559596,88.81921119578557,-24.288823975877932,-108.10638434703249,43.00578875141084,-20.881929808755736,-98.65365333523927,-138.10414995295164,-97.11169586559141,-81.2233334240222
-45.37979370971916,-87.21170872918343,-41.8319150194779,88.98564807421529,-24.463836199929425,-108.12766623884886,43.6434423916779,-19.657416516457143,-98.71017803407562,-137.31177947750135,-96.97770684532782,-81.15927473824333
-45.44613536506921,-87.14091109578247,-41.69477573072709,89.01659091286437,-24.598747499654454,-107.98829896107328,44.25085542524094,-18.452598831176473,-98.51625264596422,-136.05859961910852,-96.5030069979247,-81.04465482149945
-45.832237726131666,-87.29959684086285,-41.46735911474519,89.48203614646654,-25.098558168707434,-108.03327639816351,44.58802784751463,-17.507473208193964,-98.32187288879348,-134.66460668491544,-96.25759301930633,-81.00947009439415
-46.21809949340603,-87.2677614686668,-41.04966197527501,89.85198022764243,-25.693268505716453,-107.79259245623317,45.00495966285702,-16.562036114521028,-97.89703449726566,-132.89979701236018,-95.93146163268818,-80.9037169959491
-46.64371937658907,-87.29540050108282,-40.65168112450818,90.29141962703301,-26.317878814282476,-107.62124106326657,45.441650884573185,-15.636284029056274,-97.17173322308231,-130.8241669693313,-95.52460958871244,-80.71739198373844
-46.979096094627536,-87.34250947780544,-40.363413383192515,90.65035083343231,-26.79738940297836,-107.52421616933215,45.76810153491855,-14.810213442741182,-96.33596483512909,-128.82771295432065,-95.51703366558162,-80.59049153402188
-47.42422837577035,-87.31908395649442,-39.894855580738884,91.08377035391916,-27.47680058534757,-107.26651174679512,46.11431164510155,-13.743820858715301,-95.25972511966006,-126.62043139657519,-95.37873066919126,-80.45301214187734
-47.73911495762028,-87.40511951293298,-39.666004555327696,91.44167471398791,-27.90611267990267,-107.23812179052891,46.47028125528595,-12.327102792471106,-93.94300988048106,-124.43231875624691,-95.35969743326089,-80.45495032133235
-48.01375458718524,-87.86061174118501,-39.84685715401497,91.94406045767843,-28.09032601012357,-107.78404031812539,47.03601041459258,-10.240055772008395,-92.20581493913264,-122.27337152454145,-95.54993081946388,-80.6963026054949
-48.218146020929076,-89.19555625375165,-40.97741023283793,92.81592414770512,-27.729440904455505,-109.68426137010431,47.61149918110066,-7.202676337988249,-90.02813613507197,-120.833586223865,-96.69942771755565,-81.64706554668322
-48.342288024821876,-91.48994868172656,-43.147660656920216,94.08726236558493,-26.768457696306747,-113.06377901012118,48.85674762184851,-2.1349610438865767,-86.7599693258544,-120.07295940796996,-98.77818504550066,-83.5472357165546
-48.296179374389865,-94.91378467495076,-46.61760530057663,95.75307171176456,-24.98737672404611,-118.2225873251744,50.99175581283395,5.873093543852816,-81.84131038731405,-120.30148766209871,-102.11619974959791,-86.63680970623345
-47.70981885476471,-99.17705990216614,-51.467241047417346,97.29834880574664,-21.976198331000163,-124.91068042581098,54.496523839014024,17.781490845665605,-74.4421552137436,-121.32916760312612,-106.41346880460497,-90.80578412643835
-46.60320526073242,-104.15977005116825,-57.55656479045193,98.68309028621495,-17.824922865450155,-132.9380524463312,59.19105179430437,33.6902342687148,-64.3724997180735,-123.2559958797003,-111.83998921386066,-96.02415560760825
-44.92633739678177,-109.341910828958,-64.4155734321925,99.5972928111587,-12.718550680628777,-141.54969754499203,65.175339781578,53.919327206739126,-51.25233983205037,-125.9919691723818,-118.2157580094062,-102.10192080002759
-42.76921407715215,-114.20347796189253,-71.4342638847568,99.87095305799588,-7.052082134716578,-149.92060990420953,72.85938791266364,79.3687730399018,-34.06167150641444,-128.5570841937813,-124.54077225210493,-108.41907637395062
-39.41183412588104,-117.74446719583503,-78.33263306997054,98.28406772369554,-0.24551759083816016,-156.91078373075965,81.63319630834349,109.53857513463987,-12.630490711076456,-130.40133768869558,-130.43502903176056,-114.29561901972474
-34.78419637685089,-118.8248742963036,-84.04067791946942,94.1966335248992,7.236142582941879,-160.8452132559784,90.98676509835066,143.48873684351406,13.041206564706448,-130.184726434242,-134.3585254672341,-118.48154544791277
-28.276299673835478,-115.79469504861913,-87.5183953748005,86.1736471980411,15.482898013623288,-159.55389273596023,99.91009442136595,179.5892615050593,42.51342431215558,-126.68724723999128,-134.98125870655898,-119.74685238941451
-19.45814287054589,-106.64392525805223,-87.18578238752333,72.7801054994676,24.13474832327475,-150.2368164517555,107.56318442501409,215.13015244363535,74.53616650279638,-117.82889694809847,-129.9632259270548,-116.26153659558697
-7.909724830675859,-89.53256074996904,-81.62283591931029,52.6760052055555,32.901693129038726,-130.3439787095665,112.17603526585965,246.01141296927847,106.69943708828495,-101.60967243343282,-116.90442433543991,-105.8955948383639
