,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-25.21207642749132,-23.388280194485535,1.8237962330176747,36.90621652469973,-26.12397454400707,-22.476382077994593,-4.092287919030494,-14.251347851527177,-2.9805112305665986,-31.241674397723695,-35.23330429267947,-31.812514233679607
1,-24.88653528327678,-23.302071659533176,1.5844636237551717,36.53757111300887,-25.678767095160804,-22.509839847673653,-10.794849311941267,-15.698154283745124,-5.719134986975823,-33.123530876735494,-37.10192284395245,-33.212010292988026
2,-24.570998889214636,-23.195861446551778,1.3751374426741114,36.168929612455905,-25.258567610557666,-22.50829272523295,-16.54742109558327,-16.935016204919883,-8.137815753362585,-34.86542734569994,-38.6705687672093,-34.451524125257066
3,-24.305471285821767,-23.10964785939631,1.195823426436384,35.86029521548515,-24.903382999045455,-22.511736146196508,-20.730012804205273,-17.981983139425765,-10.01660443345219,-36.3373994232216,-39.859266366370974,-35.441071424736116
4,-24.149955803732148,-23.083429183780698,1.0665266199620635,35.6916703955876,-24.683219113718206,-22.55016587381822,-25.422633114656,-19.139098645360185,-12.215545821428751,-38.039478355314614,-41.43803687648795,-36.610665806399844
5,-24.074455063486894,-23.107203687263755,0.9672513762334247,35.62805690708375,-24.55808075160816,-22.623577999165764,-28.955289845564256,-20.13640031305278,-14.064678599034954,-39.45169101431279,-42.6968984630353,-37.56031880545916
6,-24.098970975361468,-23.170969619246186,0.9280013561252454,35.68445578494941,-24.562971653428168,-22.706968941202444,-32.31798995661682,-21.083919763778244,-15.894035333060797,-40.69405989793218,-43.81586622130996,-38.440039876946415
7,-24.183504739230266,-23.254725210978503,0.928779528261403,35.810867344684254,-24.647894503364583,-22.790335446866845,-33.9207395479341,-21.79168264867296,-17.213642473221434,-41.55660312848603,-44.5549521759305,-39.039836395375005
8,-24.328056844468534,-23.34846867558008,0.9795881688977662,36.0022911822232,-24.81785092892056,-22.858674591150404,-36.40354385954364,-22.649708647855388,-18.93352035042421,-42.66933445225254,-45.644165280439395,-39.809713654473384
9,-24.522627069891584,-23.45219820806917,1.070428861831389,36.24872617389068,-25.057841500809946,-22.916983777172845,-37.4564072709514,-23.338011469750313,-20.263683175425083,-43.56226323899499,-46.40351141700779,-40.29967486699339
10,-24.73721448373136,-23.495911985403996,1.241302498336007,36.48517047639776,-25.357865732901562,-22.87526073625552,-37.35933330081096,-23.76659885061705,-21.264139037874408,-44.205394481634656,-46.73299339624268,-40.529721164593134
11,-24.981817443650392,-23.51960816653485,1.462209277123841,36.74162152688211,-25.712922082214035,-22.788503527992617,-36.82232460669053,-24.08547255428153,-22.304889905752248,-44.78872879607629,-47.09261095709677,-40.679851597794126
12,-25.276433951468512,-23.513284901507262,1.7631490499692148,37.03307640218634,-26.158008476454373,-22.6317103765425,-36.4853834126715,-24.464631353414614,-23.495934676480523,-45.39226460616306,-47.55236230045739,-40.880064175049796
13,-25.531062007908375,-23.45694034057065,2.0741216673453478,37.2595321781578,-26.568122841581825,-22.419879506917976,-36.71851193699611,-24.924074010912612,-25.0172722282305,-46.11600032870791,-48.222245622786815,-41.21035690185121
