A1,A2,V1,V2,V3,V4,V5,V6
0.48842698,0.46561393,0.5041495,0.5068104,0.48100233,0.45609862,0.46598393,0.47578317
0.49095452,0.46400172,0.50458956,0.50333333,0.48382387,0.45547768,0.46940207,0.47372067
0.49033192,0.46440214,0.50208545,0.5068985,0.4816265,0.45683008,0.46862757,0.47321153
0.4925289,0.46345934,0.50402904,0.50248337,0.48878306,0.4595279,0.47447938,0.47125918
0.4890809,0.46468672,0.50042474,0.5033207,0.48146942,0.45841873,0.46802032,0.4732877
0.4908507,0.46390057,0.50176173,0.50377184,0.48695672,0.45691186,0.4725721,0.47080797
0.48968744,0.46535963,0.5015001,0.50372237,0.48182666,0.4571175,0.46998888,0.47241265
0.49070486,0.4654377,0.50173545,0.5031467,0.484481,0.45843583,0.47159797,0.47175497
0.48984778,0.4661252,0.5015199,0.50532806,0.48277682,0.45687458,0.4680516,0.47202075
0.48982292,0.46432105,0.5025153,0.50305384,0.48444092,0.455855,0.47054726,0.4711064
0.4893555,0.46470615,0.5017152,0.5049315,0.4810472,0.45722985,0.4679852,0.47342902
0.49044102,0.4654168,0.5023825,0.5040576,0.484458,0.4568836,0.47176838,0.47134674
0.49019232,0.46392173,0.5006774,0.5035929,0.47997063,0.4559554,0.46818882,0.47343034
0.49032146,0.46556646,0.503645,0.5033642,0.48451668,0.4567169,0.4712828,0.47144035
0.48912296,0.46376815,0.5027345,0.5037577,0.48108786,0.45618126,0.4695811,0.47356153
0.49000168,0.46510136,0.50305086,0.5034051,0.4854077,0.45711598,0.47183168,0.4716324
0.48992664,0.4646641,0.5029546,0.5048492,0.48207828,0.45552772,0.4691765,0.47284907
0.48979992,0.46405888,0.5026833,0.50363594,0.48524362,0.45691067,0.4729101,0.4722585
0.4898061,0.46512327,0.5021133,0.5044218,0.48138028,0.4560089,0.4701546,0.4725353
0.49029976,0.46430498,0.5023314,0.50386685,0.48593715,0.45792222,0.47301477,0.4719356
