A1,A2,V1,V2,V3,V4,V5,V6
0.48465088,0.4745458,0.49960232,0.48028165,0.45411178,0.45208907,0.46974915,0.47043204
0.48438466,0.47437966,0.49838763,0.48000348,0.45471203,0.45102987,0.47174183,0.46894106
0.4867456,0.4727038,0.49743196,0.48335424,0.45298994,0.45154074,0.47376996,0.46713215
0.4834632,0.47277558,0.49821454,0.48105368,0.45683143,0.45373952,0.47360235,0.46624804
0.48401487,0.47252548,0.49667248,0.48219043,0.45290715,0.4503764,0.4685303,0.4699729
0.48380348,0.47311705,0.49871054,0.48113057,0.4573748,0.45308226,0.4735465,0.46948865
0.48481858,0.47382575,0.49485245,0.47910982,0.4547485,0.4516456,0.46982968,0.46952558
0.4860126,0.47327095,0.49284416,0.4794443,0.45542854,0.45296678,0.47058135,0.46895963
0.48161465,0.47377712,0.49437612,0.4821123,0.45304602,0.4543501,0.47289002,0.46878308
0.4838886,0.47567117,0.49505827,0.4785776,0.45355737,0.45445642,0.47157794,0.46662194
0.48416397,0.47214168,0.49418157,0.48155117,0.45367515,0.45310658,0.4705758,0.4673134
0.4840051,0.47601563,0.49474284,0.4790345,0.45640126,0.45511684,0.47309828,0.46763435
0.48376012,0.47208315,0.49343202,0.4802801,0.4534034,0.4533233,0.47025466,0.4678076
0.48288363,0.47355685,0.49374396,0.47868928,0.45729828,0.4531484,0.47119004,0.4677917
0.4821988,0.47268844,0.49424446,0.48039913,0.45492977,0.45153508,0.47119886,0.46825805
0.48368716,0.4756957,0.4934789,0.47879517,0.45489663,0.45379052,0.47014722,0.46747255
0.48194024,0.47316033,0.49661937,0.48011208,0.453835,0.4499246,0.47013617,0.46812537
0.4827407,0.47500616,0.4931477,0.47784898,0.45625004,0.45121118,0.47019798,0.46628726
0.48458666,0.47368526,0.49476823,0.4815877,0.4547215,0.45154297,0.4711845,0.46898782
0.48371744,0.47468305,0.49494523,0.4819113,0.4558899,0.45064512,0.47177237,0.4653262
0.4840456,0.4732737,0.49739313,0.48286754,0.45405748,0.45195124,0.47176933,0.4681509
0.48432958,0.47285694,0.49516666,0.4806475,0.456827,0.4543986,0.47094256,0.46692285
0.48385876,0.47372258,0.49399778,0.4808002,0.45314044,0.4513667,0.47114557,0.4696751
0.4810933,0.4752795,0.49574423,0.4794767,0.45660776,0.45533895,0.4728214,0.46610686
0.48424152,0.47415668,0.4944749,0.47972205,0.4548936,0.4525301,0.47087675,0.46895355
0.48407808,0.47342265,0.4936342,0.4780793,0.45681107,0.45410666,0.4719074,0.46787524
