A1,A2,V1,V2,V3,V4,V5,V6
0.48450536,0.4641145,0.49846208,0.4804536,0.45880353,0.45105052,0.46177322,0.46071526
0.48655307,0.4625921,0.49760365,0.48380098,0.45989,0.4541591,0.4574908,0.46067783
0.48582745,0.46698192,0.49756896,0.48138747,0.46432954,0.45503753,0.4604404,0.46422273
0.4854919,0.46773654,0.49539906,0.48523572,0.46372333,0.45207012,0.4589213,0.46286637
0.4895199,0.46808988,0.49918014,0.48602968,0.46739703,0.45504388,0.4650768,0.46644542
0.4874322,0.4692546,0.49545,0.48317325,0.46738523,0.45544422,0.45735726,0.46343106
0.4862172,0.46755266,0.497608,0.4858835,0.4645053,0.45082647,0.46456456,0.46097946
0.49015862,0.46888447,0.49682862,0.4870164,0.46601313,0.457458,0.46332583,0.46261567
0.48780507,0.46605325,0.49572262,0.4858315,0.46456164,0.45522118,0.46012026,0.46160161
0.48843324,0.46714097,0.49681035,0.48797965,0.46610653,0.4536697,0.4628203,0.46340412
0.4880845,0.46921206,0.49948457,0.49029058,0.46543515,0.45630133,0.46199706,0.46522185
0.48961538,0.46876085,0.4969108,0.4882553,0.4678603,0.4556542,0.4647528,0.46522385
0.48979145,0.4661156,0.49941778,0.48799193,0.46248794,0.45473966,0.4618137,0.46385932
0.4900902,0.4701066,0.49597982,0.48668343,0.46754003,0.45777932,0.4637414,0.4640348
0.48746693,0.4665899,0.4997578,0.4849592,0.4654774,0.4569199,0.4624678,0.46385634
0.4871159,0.46752053,0.49582124,0.4850727,0.46934533,0.45789382,0.4630126,0.46240914
0.48685837,0.46581322,0.4974177,0.48621917,0.46537268,0.45478034,0.46139407,0.46275294
0.4866885,0.46770555,0.49499297,0.48714083,0.46644554,0.45723763,0.46263206,0.46180123
0.48582834,0.46633852,0.49834964,0.487593,0.4643916,0.456675,0.46194118,0.4636169
0.48771635,0.4663057,0.4963574,0.48707533,0.46544358,0.4566323,0.46242505,0.4607966
0.48556328,0.4640843,0.49896353,0.48682582,0.46456248,0.45535946,0.46113217,0.46283776
0.48718527,0.46902657,0.49412304,0.48690525,0.46635675,0.45701528,0.46276355,0.46169966
0.48585325,0.46536124,0.49879396,0.48679042,0.4650873,0.4544019,0.46194512,0.46366352
0.48680717,0.46829146,0.4947477,0.48807192,0.4675721,0.45568582,0.46152103,0.4626428
0.48604774,0.46665335,0.4980809,0.486988,0.46374202,0.45577127,0.46217927,0.46318096
0.48940998,0.46812177,0.49693894,0.48711178,0.4665789,0.4548313,0.46344674,0.46321163
0.48718184,0.46556258,0.49931324,0.48796028,0.46542498,0.45539668,0.4623937,0.46226302
0.4884463,0.4670807,0.4952667,0.48818508,0.46830449,0.45657682,0.46420133,0.46231413
0.48813558,0.46519214,0.49755883,0.4867062,0.46475303,0.4565289,0.46252102,0.46321803
0.4885224,0.46784496,0.49773586,0.48670265,0.46850765,0.4567936,0.46304798,0.46218747
0.48756117,0.46603158,0.49868658,0.48619455,0.46491954,0.45558563,0.4616647,0.46195263
0.48848268,0.46711653,0.4958516,0.48734856,0.4661019,0.45830345,0.46217036,0.46346065
0.48770213,0.46846065,0.49786323,0.48646575,0.46497357,0.4576771,0.46248627,0.46463892
0.48525494,0.4672707,0.49572617,0.48605037,0.4665239,0.4568957,0.4632385,0.4627726
0.48650998,0.46573472,0.49864924,0.48478627,0.4654143,0.456286,0.46323827,0.46267396
0.48776114,0.46786243,0.49562562,0.48511544,0.46847346,0.45741504,0.46204728,0.46069744
0.4861622,0.46513635,0.49748975,0.48579943,0.46434453,0.45520055,0.4620549,0.4640553
0.4882003,0.4675629,0.49442703,0.48705116,0.4659335,0.45609516,0.46107554,0.4636553
0.48748362,0.46686777,0.49802506,0.48811758,0.4656357,0.45579642,0.46156552,0.46314478
0.4886412,0.46785688,0.4955656,0.4880207,0.4674257,0.4557116,0.46209598,0.46285558
0.48655137,0.46674863,0.49879032,0.48864093,0.46548325,0.45531136,0.46097368,0.4640047
0.48766,0.4667554,0.49565452,0.487415,0.4681843,0.4559746,0.46310073,0.4630102
0.48728955,0.46604508,0.4999918,0.4864028,0.46558088,0.4554137,0.46187186,0.46376756
0.48667133,0.46738118,0.49697843,0.4866199,0.4684093,0.4563064,0.46225333,0.46239442
0.48668474,0.46671945,0.49790597,0.48690897,0.46466327,0.45311654,0.46127182,0.46387526
0.4882702,0.4672414,0.49692035,0.4882372,0.4670484,0.456139,0.46397293,0.46371135
0.48716274,0.46484545,0.49887902,0.48611823,0.46661264,0.45648766,0.4612208,0.46201754
0.48799887,0.46752232,0.4963445,0.48665178,0.4676162,0.455596,0.4617864,0.4619059
0.48638183,0.4645913,0.49825305,0.48669338,0.46602416,0.45774084,0.4620654,0.46492624
0.48665628,0.46805698,0.49468878,0.48614952,0.46792996,0.45698568,0.46170837,0.46042722
