A1,A2,V1,V2,V3,V4,V5,V6
0.4782298,0.47263002,0.50294846,0.4610638,0.45275477,0.4524777,0.46727267,0.46618918
0.480731,0.47416562,0.4977632,0.4611274,0.44950408,0.45273644,0.46787006,0.46659234
0.48195922,0.48079115,0.50517327,0.46680245,0.45807,0.45719653,0.46564475,0.47065318
0.48324034,0.47648013,0.49857545,0.46807593,0.45103627,0.45622385,0.47178054,0.4699653
0.487684,0.47946668,0.5012498,0.46669045,0.45949158,0.455514,0.4691162,0.47377276
0.48403376,0.4801724,0.502894,0.4642512,0.45913666,0.46277475,0.47240514,0.47094238
0.48108292,0.4789949,0.5028894,0.4658691,0.46022862,0.4550917,0.46701533,0.4709649
0.48439658,0.4779145,0.49965486,0.46394327,0.46078312,0.46506193,0.47390985,0.47088778
0.4852791,0.47917944,0.5001499,0.46601003,0.45752418,0.45802867,0.4674272,0.47141153
0.48260885,0.477172,0.5004441,0.46475542,0.4596279,0.46051925,0.47264034,0.4699775
0.48007664,0.47926587,0.49931642,0.46722275,0.45802677,0.45957398,0.467498,0.4703267
0.48347357,0.4792003,0.50066006,0.46480054,0.46089256,0.45896736,0.47458094,0.46921304
0.48167837,0.4764939,0.501014,0.46754307,0.45856595,0.4578792,0.4662447,0.47002208
0.48456207,0.47817647,0.49587622,0.46546376,0.46040523,0.45959935,0.47193518,0.4700444
0.48073032,0.47858667,0.5003725,0.46607238,0.46159327,0.45876867,0.46782935,0.47099382
0.47979936,0.4775298,0.49737084,0.4663803,0.46203098,0.46240854,0.47380888,0.4688212
0.48150778,0.4794301,0.5002038,0.46595132,0.46062204,0.45899552,0.46661016,0.4712733
0.48336625,0.479353,0.49891534,0.464515,0.46038836,0.46208617,0.47530773,0.4680293
0.4799431,0.47407943,0.5019302,0.46664068,0.45901722,0.45987087,0.4663205,0.47272837
0.48294336,0.47855127,0.49837482,0.46412975,0.45941928,0.46156567,0.4734729,0.4690332
0.48007578,0.47706127,0.5015637,0.46635294,0.45951658,0.45668343,0.46575302,0.47195137
0.48388824,0.47868693,0.49820286,0.4650122,0.45821488,0.46139947,0.47449267,0.46937567
0.48212525,0.47750753,0.49910158,0.46647128,0.45673472,0.45745358,0.4697361,0.46994957
0.48211503,0.47770858,0.49859715,0.4689822,0.45732656,0.46020943,0.47333926,0.4703893
0.47978288,0.47984546,0.49937516,0.4676721,0.45838457,0.45703256,0.46751708,0.47056985
0.48563364,0.4777093,0.5005682,0.46610567,0.45658302,0.46091896,0.47431874,0.46914798
0.48228613,0.4792211,0.5017915,0.46857503,0.46021062,0.4569824,0.46684062,0.47120032
0.48162898,0.4779135,0.49798942,0.46770883,0.4603622,0.46130487,0.47588864,0.47089404
0.48322725,0.47732115,0.4996565,0.46716258,0.45823932,0.45836842,0.46636224,0.47027162
0.4831946,0.47701925,0.50186634,0.4641266,0.45941353,0.46057662,0.47314245,0.4678452
0.48272395,0.47823006,0.49945855,0.46629703,0.46135032,0.45663124,0.46745348,0.47098967
0.48236802,0.47787452,0.49682796,0.46688643,0.45946547,0.4631937,0.47362313,0.47123876
0.4824447,0.4809748,0.5009476,0.46665362,0.45894253,0.4595527,0.46756154,0.47265637
0.484396,0.48009506,0.49948776,0.46473238,0.46014252,0.46120667,0.47393292,0.471595
0.47985327,0.47689742,0.5023608,0.4660989,0.45932323,0.45824254,0.46848774,0.47133714
0.48208505,0.48027435,0.4978882,0.46414047,0.4601454,0.46204334,0.47329658,0.4684558
0.47897834,0.47862598,0.5011873,0.46632484,0.46054322,0.4570287,0.46609133,0.4728099
0.48461246,0.48019707,0.49831638,0.46702924,0.45949966,0.45890078,0.47390246,0.47024915
0.48173648,0.47540447,0.5001853,0.46670508,0.45861226,0.4592688,0.46629778,0.4691099
0.4832128,0.47814503,0.4991418,0.46647382,0.45958883,0.45996305,0.47276294,0.4704937
0.4799494,0.47566593,0.49864876,0.46802235,0.4608395,0.45884198,0.466978,0.4710529
0.48226094,0.4768825,0.50078285,0.4667822,0.45915824,0.46057928,0.47355634,0.4697845
0.48209536,0.47964615,0.49998263,0.46734318,0.4596209,0.45849276,0.46660405,0.4701615
0.48282087,0.47976574,0.49839753,0.4677197,0.45991594,0.4609613,0.4714104,0.47060078
0.48186344,0.47960865,0.5014963,0.4665402,0.45946416,0.45619816,0.46608824,0.46896285
0.4824962,0.4762026,0.49851924,0.4656484,0.45976415,0.46236408,0.47410887,0.47015876
0.4812731,0.4788616,0.49996224,0.4662069,0.45966706,0.45708686,0.46622583,0.47027582
0.4815644,0.47946787,0.49977612,0.46432266,0.45823908,0.4607849,0.47316098,0.4684199
0.48115832,0.47805792,0.49970448,0.46691638,0.45898438,0.45719147,0.46511564,0.47214186
0.48312506,0.47775882,0.49900028,0.4643528,0.45824802,0.46004567,0.47307914,0.46885693
0.48075926,0.47738567,0.5030088,0.46600923,0.45848867,0.4582125,0.46610206,0.47093898
0.48334414,0.47785366,0.49801475,0.4643525,0.46009266,0.45982632,0.47121474,0.47008356
0.4806112,0.47765422,0.5032829,0.46602756,0.46107256,0.45837188,0.46712136,0.472346
0.4817926,0.47718638,0.49966472,0.4653053,0.46044025,0.46092752,0.4724093,0.4696219
0.48169392,0.4786015,0.5007633,0.46766046,0.46008664,0.45793596,0.465891,0.47171384
0.48118705,0.47939625,0.5022616,0.46739328,0.45749953,0.46141955,0.47315407,0.4698668
0.48184162,0.4790433,0.5010703,0.46847343,0.4607075,0.45826215,0.4651116,0.4716873
0.48238623,0.47746307,0.5004852,0.46800455,0.45722073,0.46042436,0.47182292,0.46885738
0.48000467,0.476761,0.5011904,0.46778205,0.45861018,0.45848954,0.46766868,0.47176883
0.48228934,0.4778154,0.49876454,0.46491516,0.4589914,0.46026784,0.47324032,0.47029665
0.4805767,0.47839034,0.50057983,0.46609455,0.45883757,0.45803583,0.46607548,0.47095907
0.48341638,0.47676402,0.49792722,0.46618146,0.4589836,0.45958593,0.47218472,0.47024146
0.48266637,0.47705868,0.4980829,0.4678645,0.46005955,0.45668513,0.46801692,0.46995884
0.48340133,0.47683525,0.49746737,0.46677956,0.45749447,0.46191007,0.4731747,0.46924943
0.4808576,0.47819683,0.49984556,0.4698442,0.4604291,0.4567939,0.468275,0.4715227
0.48507097,0.47929794,0.49923962,0.4650513,0.45854264,0.4625029,0.47372475,0.47035906
0.48245928,0.4752013,0.5021979,0.4691178,0.4599595,0.45739636,0.4668203,0.47021675
0.4840415,0.47805545,0.4980973,0.46590585,0.4595124,0.46133554,0.4702283,0.46831378
0.47944933,0.4794205,0.5016836,0.46824104,0.45792094,0.45607254,0.46572906,0.47160563
0.4850142,0.47981107,0.49868402,0.4679088,0.46017703,0.46045586,0.473559,0.4716397
0.4825424,0.477284,0.50119036,0.47025567,0.46282268,0.45881924,0.46695,0.47165933
0.48372304,0.47877476,0.4993768,0.46708688,0.46163332,0.4608636,0.47378606,0.47023514
0.48151743,0.4785734,0.50131506,0.47053337,0.45887747,0.45797706,0.46755847,0.47217846
0.48349285,0.4780954,0.49856997,0.4683462,0.45770794,0.46273357,0.47328165,0.46940666
0.48230553,0.4784487,0.5002012,0.46634567,0.46052295,0.45831963,0.4647204,0.47132963
0.4827412,0.47609723,0.4979415,0.46480876,0.45934802,0.46251404,0.47374272,0.470325
0.48289287,0.4760057,0.499907,0.46553743,0.45950645,0.45808768,0.46527234,0.47116446
0.48364162,0.47875383,0.49925876,0.46559978,0.45825416,0.4599666,0.47272614,0.46909928
0.4817359,0.47980267,0.5022197,0.46770912,0.4603821,0.4589293,0.46749473,0.46913022
0.48332536,0.48071152,0.50084007,0.467337,0.45765275,0.46134818,0.47246513,0.46875697
0.4799741,0.47981894,0.50239486,0.46983135,0.46010584,0.4572621,0.4656577,0.47271383
0.48275375,0.4789037,0.49944195,0.46698096,0.4579971,0.46107748,0.47293144,0.4685176
0.48102248,0.4768594,0.5009299,0.46767235,0.46001744,0.45927483,0.46857828,0.4704876
0.48286143,0.4779538,0.50086653,0.46522754,0.4579841,0.46238193,0.47227162,0.4707586
0.4814713,0.48044354,0.499756,0.4666675,0.4579965,0.45861334,0.46614587,0.47036505
0.48269472,0.47950554,0.49802762,0.4658255,0.45687157,0.46316797,0.47469044,0.47026724
0.48259133,0.48086995,0.5008491,0.46812046,0.4599657,0.46000546,0.4675809,0.47233194
0.48183265,0.47878605,0.49969846,0.4670621,0.45831913,0.46208748,0.47375542,0.46930012
0.48064095,0.4784503,0.50213516,0.4680488,0.45910594,0.45757878,0.46920514,0.4732245
0.48421052,0.47883582,0.500242,0.46725282,0.4602006,0.46295992,0.4757833,0.47054684
0.48160613,0.47690034,0.5013241,0.46867418,0.46091688,0.46024793,0.4688961,0.4717605
0.48409444,0.47910574,0.5011338,0.4657343,0.45925587,0.46249554,0.47362155,0.469741
0.4830353,0.47944206,0.50198805,0.47034997,0.46183014,0.45902193,0.4678197,0.47189763
0.48369628,0.47986788,0.4995268,0.46956554,0.45968047,0.4631967,0.47402304,0.47131088
0.48309925,0.4806201,0.5013952,0.47021917,0.45976496,0.457766,0.4693561,0.47358972
0.48417926,0.48138952,0.5018102,0.46674156,0.46056718,0.46398595,0.47481632,0.47188616
0.48174423,0.4798925,0.50156844,0.47158757,0.46011424,0.45616502,0.46742716,0.4714916
0.48568094,0.479639,0.49964994,0.46832496,0.45915115,0.46236187,0.47626138,0.47200567
0.48525804,0.47960025,0.5013876,0.46995774,0.46254933,0.45903766,0.4663651,0.4732857
0.48525128,0.48058546,0.4989469,0.46745974,0.46124306,0.46196485,0.47546673,0.47122085
0.4836412,0.48049963,0.5035536,0.47033486,0.46029148,0.46081004,0.47006524,0.474549
0.4842174,0.48178348,0.5005877,0.4684446,0.4619376,0.46453652,0.47322395,0.47179052
0.48300958,0.4816879,0.5012546,0.469185,0.46420544,0.45921975,0.46722537,0.47323263
0.48663846,0.48140526,0.501143,0.4687535,0.4615314,0.463676,0.47459945,0.47291028
0.48643222,0.4835652,0.50290877,0.47144252,0.46396446,0.46266693,0.46752286,0.47218797
0.48676908,0.4833188,0.5016761,0.4715011,0.46262702,0.46547008,0.4745931,0.47403005
0.48695904,0.48274687,0.5054169,0.4711889,0.4640805,0.4642943,0.46899822,0.4730116
0.48566216,0.4836585,0.50506604,0.47119984,0.46633726,0.4649664,0.47548592,0.47319862
0.48689666,0.48918173,0.5067723,0.4729057,0.46432817,0.46320117,0.46857113,0.4736143
0.48712093,0.48614615,0.50614953,0.47204906,0.46583265,0.46677914,0.47612312,0.4750376
0.4854287,0.48970738,0.50883025,0.47513568,0.46556926,0.46313453,0.46916687,0.47474813
0.48578864,0.49004012,0.5070394,0.47181365,0.46718955,0.4672459,0.4772988,0.4759681
0.4839995,0.49196714,0.5111625,0.47439545,0.4670248,0.46314207,0.46812794,0.47793132
0.48548558,0.49164987,0.5075877,0.47254938,0.4690358,0.46837497,0.47589475,0.47443947
0.48408407,0.49049276,0.511675,0.4773108,0.46893516,0.46454513,0.4701736,0.47655022
0.48559245,0.49195915,0.5092031,0.47425896,0.46763802,0.46916184,0.47665274,0.47538778
0.48669016,0.49177307,0.511209,0.4753085,0.46741527,0.4640853,0.46873188,0.4763291
0.48585573,0.49246448,0.51053965,0.47541487,0.46949977,0.46874794,0.47553664,0.4767996
0.4854503,0.4960905,0.5136124,0.47637707,0.47133416,0.4673773,0.4729392,0.47658664
0.48585442,0.4955685,0.51231766,0.47486746,0.4721588,0.46953353,0.47845316,0.47606385
0.4872019,0.4990047,0.5136048,0.47637847,0.46818954,0.4665017,0.47238022,0.47633386
0.48554993,0.4988484,0.5133393,0.47407222,0.4714446,0.47299096,0.48046887,0.4760298
