A1,A2,V1,V2,V3,V4,V5,V6
0.48139152,0.47297513,0.5039753,0.4809059,0.45482054,0.45044988,0.47059146,0.45927256
0.4808644,0.4735154,0.5029323,0.47857156,0.457633,0.45193332,0.46731475,0.46280178
0.48287803,0.46826106,0.50558555,0.4830323,0.45974702,0.45299435,0.46827364,0.45891505
0.4819594,0.46935743,0.50327235,0.47999007,0.46172002,0.45257375,0.4686017,0.4615854
0.4833247,0.4684432,0.50402415,0.4839812,0.46029276,0.45604712,0.46850204,0.4585119
0.48113537,0.47101527,0.50039244,0.48067003,0.46313143,0.4559817,0.4670956,0.46309447
0.48022178,0.47188297,0.505985,0.4839189,0.46223485,0.45699263,0.47031033,0.4616069
0.4820463,0.47324514,0.5011597,0.48152387,0.46218145,0.45665833,0.4681385,0.46178633
0.48450017,0.47337866,0.50503546,0.48264593,0.4598395,0.4566381,0.47110885,0.45968813
0.48506385,0.4732746,0.50109875,0.48149103,0.4603298,0.45411724,0.46992826,0.46301913
0.48472974,0.47322023,0.5046368,0.48322925,0.45888504,0.45664954,0.4715179,0.4595808
0.4843581,0.4744032,0.5029993,0.48094282,0.46263602,0.45534307,0.4718503,0.46208432
0.48399636,0.47370163,0.5054994,0.48379716,0.45754087,0.45588553,0.4710419,0.4604265
0.48349026,0.4722121,0.5035573,0.48041722,0.4625374,0.4563719,0.47170335,0.46252853
0.48440433,0.4736336,0.50573194,0.48501486,0.4594835,0.45468724,0.4721716,0.45916173
0.48376185,0.47301042,0.50289845,0.48102483,0.46200132,0.45779145,0.4716236,0.46311587
0.48202664,0.47080684,0.5052246,0.48460698,0.4587143,0.4541098,0.47059286,0.46060306
0.48418128,0.47323418,0.50384915,0.48054796,0.4622587,0.4544598,0.4705909,0.4628285
0.482815,0.4709575,0.50654763,0.48527533,0.46059397,0.45586383,0.47123942,0.45912656
0.4829917,0.47250533,0.50129557,0.4814819,0.4621628,0.45786658,0.47027215,0.46403924
0.48466128,0.47175997,0.5041299,0.48476136,0.4611746,0.45485342,0.47081107,0.46089306
