A1,A2,V1,V2,V3,V4,V5,V6
0.48601282,0.47090536,0.4964705,0.47928792,0.43775392,0.4563489,0.4677874,0.47191155
0.4822456,0.4717518,0.5012432,0.47835732,0.4424653,0.45779854,0.46180052,0.47199583
0.48383465,0.4647105,0.49470487,0.4750333,0.42595515,0.4519939,0.46256307,0.4681489
0.4769736,0.46670765,0.49701133,0.4764146,0.4354357,0.45308816,0.45515788,0.46991503
0.48047268,0.4679248,0.49646872,0.47252882,0.42770058,0.4505752,0.46035904,0.46771002
0.4776817,0.46632463,0.49685633,0.4782893,0.43514395,0.45347822,0.45741284,0.47008795
0.48502687,0.46436,0.4930857,0.4727599,0.42741928,0.45544657,0.46340647,0.47255257
0.4788535,0.4648614,0.49663195,0.47602683,0.4314866,0.45066592,0.45537028,0.4669379
0.48247182,0.4688798,0.4924121,0.47345287,0.4273224,0.4533125,0.4637826,0.47234064
0.48009506,0.46822414,0.49392164,0.4756114,0.43107188,0.45394894,0.45548987,0.46912247
0.48314613,0.46725595,0.49466938,0.47382766,0.42829776,0.45269036,0.4643871,0.47202855
0.48015064,0.46703216,0.49620616,0.47238287,0.4331122,0.452872,0.45547134,0.4671793
0.48109233,0.4656557,0.49513143,0.47398657,0.42911056,0.44927225,0.46445283,0.4707961
0.47795427,0.46589762,0.4949769,0.47537246,0.43207797,0.45137203,0.45478594,0.46750537
0.48079458,0.46517676,0.4935426,0.47551316,0.42569906,0.45075816,0.46466765,0.4705196
0.48045608,0.46652192,0.497392,0.4765147,0.42940712,0.44996417,0.45447734,0.46825552
0.48224866,0.46299648,0.49487555,0.4757483,0.4265392,0.45085242,0.46404567,0.46888602
0.48180294,0.46628734,0.4947753,0.47594294,0.43124416,0.4505819,0.4542386,0.4694621
0.4808694,0.4647295,0.4943361,0.4750625,0.42631143,0.450554,0.46355844,0.46927506
0.48038924,0.4669485,0.49421957,0.4762995,0.43182403,0.4523691,0.4551741,0.4698255
0.482211,0.46459043,0.4939685,0.47388268,0.42904323,0.4509549,0.46240568,0.46952683
0.47940606,0.46512458,0.4954574,0.47579357,0.43101788,0.45073417,0.4548986,0.46869212
0.4817522,0.4642976,0.49472937,0.4743747,0.42635608,0.45165968,0.46347684,0.4701866
0.47984362,0.46538222,0.49609315,0.4750154,0.43122932,0.45105317,0.45517972,0.46865827
0.48182148,0.4660589,0.49412826,0.47433996,0.4285372,0.4518813,0.4640877,0.47096986
0.4780355,0.46735132,0.49590033,0.476165,0.43238375,0.4520169,0.455295,0.46807098
0.482085,0.46470046,0.4948476,0.47393155,0.42776817,0.45051885,0.4635579,0.47119617
0.47997287,0.4656328,0.49637076,0.47453842,0.43122214,0.45234948,0.45550102,0.46810043
0.482112,0.46505213,0.4937701,0.4744643,0.4283917,0.45046288,0.46439904,0.47080207
