Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15
0.0,-13.784299703172417,-16.135340686066666,-20.97779784811287,-23.008844223263985,-13.251433362757982,-11.613767436849052,-14.245662439071896,-15.40598412085367,-9.131217985785208,-8.969366313689084,-3.651392587747119,-5.99981837400942,-8.623847534047387,-6.303282108069388,0.3453412539461819
0.002,-13.240637831337724,-15.488194839186994,-20.066945030738896,-22.647020190564344,-12.513333397404073,-10.690673737139766,-13.794313995806961,-15.09097243913096,-8.91917205340257,-8.597465680452242,-3.15683558020217,-5.830904042561567,-8.545138080832727,-6.120541189439219,0.5258036866846595
0.004,-12.696975959501984,-14.841048992306078,-19.15609221336317,-22.285196157864007,-11.775233432048744,-9.767580037428704,-13.342965552541159,-14.77596075740764,-8.707126121019524,-8.225565047214683,-2.662278572656268,-5.661989711113389,-8.466428627617915,-5.937800270808697,0.7062661194234846
0.006,-12.153314087667292,-14.193903145426408,-18.245239395989195,-21.923372125164367,-11.037133466694836,-8.844486337719419,-12.891617109276224,-14.46094907568493,-8.495080188636885,-7.853664413977841,-2.167721565111319,-5.493075379665536,-8.387719174403257,-5.755059352178528,0.8867285521619622
0.008,-11.652788097836432,-13.393187109844575,-17.552570735321588,-21.342353416835373,-10.189326153294159,-7.745972322848882,-12.243115030950221,-13.99261011745516,-8.217178706965141,-7.459707937369793,-1.6950144783121013,-5.324297803066994,-8.090038049086715,-5.440968890366524,1.1109527584180623
0.01,-11.22946908521506,-12.317602693035928,-17.250420094264744,-20.36900800647551,-9.145158586506112,-6.333481367074889,-11.24173651885673,-13.249837555623138,-7.821405336348815,-7.026274697626466,-1.2614155829924254,-5.1557649978291735,-7.400429365734123,-4.891781782425539,1.4135041969844153
0.012,-10.806150072593686,-11.24201827622728,-16.948269453207896,-19.39566259611565,-8.100991019718064,-4.920990411300895,-10.240358006763238,-12.507064993791115,-7.425631965732489,-6.592841457883139,-0.8278166876727497,-4.987232192591354,-6.710820682381531,-4.3425946744845545,1.7160556355507683
0.014,-10.382831059972315,-10.166433859418632,-16.646118812151048,-18.422317185755784,-7.056823452930017,-3.508499455526901,-9.238979494669744,-11.764292431959094,-7.029858595116163,-6.159408218139812,-0.39421779235307386,-4.818699387353535,-6.021211999028938,-3.7934075665435687,2.0186070741171216
0.016,-10.039120172715041,-9.186604337826711,-16.5516921337188,-17.52871502358875,-6.108486883913702,-2.3839159521171185,-8.349491143757852,-11.10144059856165,-6.794036045791395,-5.901970223533314,-0.152737477730295,-4.7783579690297024,-5.395503065269493,-3.388259329287397,2.2090824037486443
0.018000000000000002,-9.919257875593656,-8.476026204767722,-17.041360558121962,-16.859341400896728,-5.429615694773169,-2.068893997941168,-7.774624632211755,-10.663316357992722,-7.007976201887761,-6.139409947933407,-0.45147178606599314,-5.098475500054269,-4.949472635318393,-3.388131282873886,2.0844130310237334
0.02,-9.799395578472502,-7.765448071710102,-17.531028982524184,-16.189967778205997,-4.750744505633944,-1.7538720437658246,-7.1997581206667665,-10.225192117424637,-7.221916357983715,-6.376849672333042,-0.750206094401116,-5.418593031078219,-4.5034422053681515,-3.388003236460375,1.9597436582990628
0.022,-9.679533281351349,-7.054869938652482,-18.020697406926406,-15.520594155515264,-4.0718733164947185,-1.438850089590481,-6.624891609121777,-9.78706787685655,-7.435856514079669,-6.614289396732676,-1.0489404027362388,-5.738710562102169,-4.05741177541791,-3.387875190046864,1.835074285574392
0.024,-9.691284935402399,-6.516574009038252,-18.46951642820299,-15.033645224270028,-3.5450385068621255,-1.3468468050226754,-6.202093404909952,-9.43002507220605,-7.649693953372844,-6.8212094798385365,-1.3476640104391262,-6.0487456208115855,-3.824352906986224,-3.397852750212274,1.6799685166245304
0.026000000000000002,-10.363162813305872,-6.842381006075457,-18.713450161926215,-15.461670136062123,-3.780761163197497,-2.3734215352125245,-6.542012804671045,-9.479656344582349,-7.863016203702079,-6.875054487079298,-1.6463339477834582,-6.308210779318097,-4.659479526803058,-3.458516243375415,1.3722051978566923
0.028,-11.035040691209346,-7.168188003112663,-18.957383895649436,-15.88969504785422,-4.016483819532868,-3.3999962654023737,-6.881932204432138,-9.529287616958648,-8.076338454031315,-6.92889949432006,-1.9450038851277902,-6.567675937824609,-5.494606146619892,-3.5191797365385558,1.0644418790888541
0.03,-11.706918569112819,-7.493995000149868,-19.20131762937266,-16.317719959646315,-4.25220647586824,-4.426570995592223,-7.221851604193231,-9.578918889334945,-8.28966070436055,-6.9827445015608225,-2.243673822472122,-6.82714109633112,-6.329732766436726,-3.579843229701696,0.7566785603210159
0.032,-12.37867859082511,-7.8539617694572215,-19.402337688486938,-16.737099053279984,-4.513546668622044,-5.410262383352476,-7.553160482491017,-9.632794918977119,-8.45585692028637,-6.993752320762617,-2.4995368796144697,-7.035269613438942,-7.164821462191362,-3.627649019047824,0.4788771308096117
0.034,-13.048875926724726,-8.666861815528373,-19.034354210180013,-17.04184100242951,-5.114556418329084,-5.825352415899897,-7.7703002243386745,-9.742953285699484,-7.99719682818297,-6.436770757809622,-2.187812414063438,-6.562712292726394,-7.999407312950214,-3.5049711800016348,0.5983481588598374
0.036000000000000004,-13.719073262624343,-9.479761861599524,-18.666370731873087,-17.346582951579038,-5.715566168036124,-6.240442448447318,-7.987439966186332,-9.85311165242185,-7.5385367360795685,-5.879789194856627,-1.876087948512406,-6.090154972013844,-8.833993163709065,-3.3822933409554454,0.7178191869100632
0.038,-14.389270598523959,-10.292661907670675,-18.298387253566162,-17.651324900728564,-6.3165759177431635,-6.65553248099474,-8.20457970803399,-9.963270019144215,-7.079876643976167,-5.322807631903633,-1.5643634829613744,-5.6175976513012955,-9.668579014467916,-3.259615501909256,0.8372902149602889
0.04,-15.059467934423575,-11.105561953741827,-17.930403775259233,-17.95606684987809,-6.917585667450203,-7.070622513542161,-8.421719449881648,-10.07342838586658,-6.621216551872766,-4.765826068950638,-1.2526390174103426,-5.1450403305887455,-10.503164865226768,-3.1369376628630667,0.9567612430105146
