Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.0,-22.47803348649442,-29.81097801529251,-31.96675168007112,-31.617820888171437,-14.787546256846705,-16.593101029711075,-16.32011514843164,-15.268209867038324,-10.807123729540828,-7.387885691991764,-2.1496793915897223,-7.118320880518587,-6.799261388721648,-2.283678901660888,2.6400698257233834,-64.14273805079375,-88.330281482917,-24.187543432104892,108.307878792222,-52.04896633468055,-100.42405319911866,19.29471030068942,-123.72581791953903,-160.1218628565286,-163.59493949683258,-125.95707700856033,-106.99632091621385
0.002,-22.33072551987874,-29.705668948525272,-32.16074259891041,-31.516918348702323,-14.50642124103619,-16.83556575021238,-16.625824025342045,-15.24187629855111,-10.854783613807655,-7.465433352874206,-2.079294925276579,-6.872655382167067,-6.384075679898669,-2.282502160778758,2.6681657824118736,-66.1275903621094,-88.57214525381102,-22.4445548916839,110.41366298898504,-54.90531291620641,-99.79442269980316,19.954687798812166,-122.88082380705606,-159.04665560333694,-162.57093498986814,-124.9754045930768,-105.99110224509118
0.004,-22.170427668714044,-29.52194077878283,-32.30258588908225,-31.403015880614067,-14.160105638404717,-16.98675648443335,-16.879364978788576,-15.137311723518987,-10.86333167008443,-7.52994745355963,-1.969772449230829,-6.574823720305088,-5.968917445473109,-2.2291932754132215,2.7223434886156794,-69.01248201391455,-89.13414254137015,-20.1216605274385,113.5795532845701,-58.95165175013399,-99.19497280524054,20.974650000406363,-121.70589695755031,-157.53158392606574,-161.0770119944709,-123.53368591170775,-104.62575460389368
0.006,-22.010129817549284,-29.338212609040312,-32.44442917925415,-31.289113412525765,-13.813790035773103,-17.137947218654386,-17.132905932235214,-15.032747148486822,-10.871879726361207,-7.594461554245081,-1.8602499731850342,-6.276992058442986,-5.553759211047378,-2.175884390047663,2.776521194819507,-71.68741257272858,-89.39627317264876,-17.70886059990368,116.38554915902378,-62.83298227271518,-98.25070347275265,22.12459639631067,-120.45103752650128,-155.94664773365608,-159.45317003522138,-122.07192028346323,-103.27027707937752
0.008,-21.84983196638459,-29.15448443929787,-32.58627246942599,-31.17521094443751,-13.46747443314163,-17.289137952875357,-17.386446885681746,-14.9281825734547,-10.880427782637982,-7.658975654930504,-1.7507274971392843,-5.979160396581008,-5.138600976621818,-2.1225755046821266,2.830698901023313,-73.44238160012928,-89.45853696670392,-16.01615536655876,118.1716500834524,-65.43430391678808,-97.46661465013628,23.14452647660372,-119.21624565927458,-154.491846923671,-157.99940862688408,-120.75010702184996,-102.18466875327901
0.01,-21.563292916088034,-28.801709313063306,-32.34897526858588,-30.850766493021847,-13.036978459070038,-17.061210334101435,-17.302922005201008,-14.570905690929122,-10.84690256539765,-7.554977096113237,-1.5990476435601841,-5.807771534920042,-4.849938365409351,-1.8165900933426995,2.8848575807774743,-74.0573886527773,-89.54093373462634,-15.48354508183375,118.827855520062,-66.31561611179836,-97.28270627569711,23.65443973065405,-118.45152149108614,-153.49718138230386,-157.02572727444468,-119.92824543490418,-101.65892870233371
0.012,-21.220129859773092,-28.373110161489723,-31.941619056959073,-30.431885909717046,-12.56872436885388,-16.663233634288144,-17.068210206818986,-14.100277673284095,-10.794505875854849,-7.375394164591336,-1.428458593810716,-5.6930971050674835,-4.618013879146491,-1.3972695962638348,2.9390077264412775,-72.89243328244137,-89.61346327957196,-16.72102999711591,117.69916492219923,-64.53191828382111,-97.9739782782847,24.0643356471703,-117.99686514696765,-152.77265098438747,-156.37212547314837,-119.4563348252258,-101.44305599829634
0.014,-20.876966803458288,-27.94451100991632,-31.53426284533243,-30.01300532641242,-12.100470278637914,-16.265256934475012,-16.833498408437055,-13.629649655639263,-10.742109186312069,-7.195811233069509,-1.257869544061318,-5.578422675214973,-4.3860893928837275,-0.9779490991851425,2.993157872105058,-70.36751503602396,-89.50612539679443,-19.13861036075642,115.12057773439336,-60.798209855583195,-99.07543057732833,24.274213714251452,-117.92227674173309,-152.368255593405,-155.9086027085397,-119.2143744900132,-101.52704970796185
0.016,-20.533803747143345,-27.515911858342736,-31.12690663370562,-29.59412474310762,-11.632216188421756,-15.867280234661719,-16.598786610055033,-13.159021637994236,-10.689712496769268,-7.016228301547608,-1.08728049431185,-5.463748245362414,-4.154164906620869,-0.5586286021062778,3.0473080177688607,-66.8826334555875,-89.2389198736782,-22.35628641807727,111.50209339239912,-55.704490246486024,-100.41706308287338,24.61407341943725,-117.75775637994664,-151.943995061502,-155.40515845650336,-118.95236372109909,-101.44090889318696
0.018000000000000002,-20.22705929690604,-27.195719284524237,-30.610775850643968,-29.13908074101609,-11.272878678020259,-15.578234446324299,-16.364092882922627,-12.724761147151167,-10.673647303904552,-6.836672097083159,-0.9529509849648414,-5.45794457387392,-3.704628315160856,-0.21198912407607787,3.101443945822128,-62.76778807838118,-88.43184648977227,-25.664058411378257,106.98371132324016,-49.935758872628966,-101.2638756956188,24.78391424975868,-117.79330415589168,-151.7198692294998,-155.08179218330636,-118.86030180498715,-101.45463261091282
