,time_15ch,diff_15ch,nearest_idx,time_lizmil,diff_lizmil,abs_diff
449,888.006,1.492,452,888.0333578,0.717069369,0.774930631
1793,1745.002,1.334,1784,1744.751986,0.670303975,0.663696025
808,1113.6,1.278,802,1113.59844,0.631332814,0.646667186
1103,1306.7,1.196,1096,1306.747309,0.615744349,0.580255651
616,994.076,0.368,617,993.7621185,0.943102104,0.575102104
1795,1745.812,0.376,1785,1745.687294,0.935307872,0.559307872
867,1152.598,0.336,860,1152.32798,0.888542479,0.552542479
660,1020.342,0.368,658,1020.387216,0.919719408,0.551719408
1145,1334.574,0.338,1136,1334.35448,0.888542479,0.550542479
948,1204.548,0.412,940,1204.627278,0.943102104,0.531102104
334,817.916,0.424,333,817.9164443,0.935307872,0.511307872
1968,1856.276,0.41,1955,1856.622602,0.919719408,0.509719408
1881,1800.376,0.326,1870,1800.706779,0.833982853,0.507982853
1792,1743.668,0.436,1783,1744.081682,0.943102104,0.507102104
1794,1745.436,0.434,1785,1745.687294,0.935307872,0.501307872
1114,1314.23,0.312,1106,1314.338892,0.795011691,0.483011691
1767,1725.57,0.64,1759,1725.866561,1.122369447,0.482369447
1871,1794.576,0.344,1860,1794.510365,0.82618862,0.48218862
720,1057.176,0.376,716,1057.222758,0.857365549,0.481365549
1816,1759.004,1.138,1806,1759.257052,0.662509743,0.475490257
1860,1787.26,0.328,1849,1787.581292,0.802805924,0.474805924
621,996.518,0.36,621,996.5212767,0.833982853,0.473982853
615,993.708,0.492,617,993.7621185,0.943102104,0.451102104
1790,1742.716,1.13,1781,1742.538424,0.701480904,0.428519096
333,817.492,0.516,333,817.9164443,0.935307872,0.419307872
771,1089.342,0.45,766,1089.38176,0.865159782,0.415159782
1777,1732.756,0.304,1768,1732.748868,0.717069369,0.413069369
681,1033.304,0.336,678,1033.356818,0.717069369,0.381069369
506,924.038,1.016,509,923.9647685,0.639127046,0.376872954
1742,1708.856,0.45,1733,1708.680279,0.82618862,0.37618862
719,1056.8,0.484,716,1057.222758,0.857365549,0.373365549
1092,1298.378,0.402,1083,1298.087917,0.771628995,0.369628995
1788,1740.874,0.566,1778,1740.605454,0.935307872,0.369307872
659,1019.974,0.556,658,1020.387216,0.919719408,0.363719408
1136,1328.912,0.728,1128,1329.031019,1.091192518,0.363192518
1135,1328.184,0.852,1127,1327.939827,0.491036633,0.360963367
1419,1499.122,0.702,1411,1499.288229,0.358534684,0.343465316
1757,1718.818,1.286,1749,1719.101168,0.943102104,0.342897896
1146,1334.966,0.392,1137,1335.087138,0.732657833,0.340657833
1776,1732.452,1.05,1768,1732.748868,0.717069369,0.332930631
1097,1301.622,0.4,1088,1301.330318,0.732657833,0.332657833
795,1103.138,0.368,788,1103.177551,0.693686672,0.325686672
1809,1754.652,0.342,1799,1754.954636,0.654715511,0.312715511
1819,1760.848,0.46,1808,1760.698985,0.771628995,0.311628995
781,1095.11,0.386,775,1095.009196,0.693686672,0.307686672
366,837.178,0.744,367,837.1837864,0.436477007,0.307522993
1812,1756.094,0.426,1801,1756.349804,0.732657833,0.306657833
1868,1792.708,1.006,1858,1793.037255,0.701480904,0.304519096
1756,1717.532,0.352,1747,1717.464379,0.654715511,0.302715511
1811,1755.668,0.36,1800,1755.617146,0.662509743,0.302509743
369,839.422,0.892,371,839.4285253,0.615744349,0.276255651
1748,1712.92,0.63,1739,1712.569601,0.904130943,0.274130943
361,833.598,0.688,361,833.7699127,0.420888542,0.267111458
1807,1753.916,0.5,1797,1753.769913,0.763834762,0.263834762
1098,1302.556,0.934,1090,1302.655337,0.670303975,0.263696025
505,923.022,0.526,508,923.3256415,0.787217459,0.261217459
1849,1781.016,0.858,1838,1780.706779,0.600155885,0.257844115
684,1035.244,0.516,681,1035.546998,0.771628995,0.255628995
1663,1655.358,0.392,1654,1655.16508,0.646921278,0.254921278
1864,1789.938,0.702,1853,1790.013093,0.452065472,0.249934528
1832,1769.638,0.46,1821,1769.490879,0.709275136,0.249275136
1778,1733.77,1.014,1769,1734.011534,1.262665627,0.248665627
614,993.216,0.4,616,992.8190164,0.646921278,0.246921278
1866,1791.234,0.434,1855,1791.080903,0.678098207,0.244098207
1851,1782.148,0.442,1840,1782.024005,0.68589244,0.24389244
780,1094.724,0.45,775,1095.009196,0.693686672,0.243686672
1904,1814.566,0.45,1891,1814.455805,0.693686672,0.243686672
1883,1801.58,0.45,1871,1801.400466,0.693686672,0.243686672
1774,1730.804,0.468,1765,1730.535306,0.709275136,0.241275136
1821,1762.642,0.918,1811,1762.709897,0.678098207,0.239901793
1845,1778.568,0.534,1834,1778.360716,0.763834762,0.229834762
360,832.91,0.598,359,832.6943087,0.374123149,0.223876851
1100,1303.76,0.566,1092,1303.863443,0.787217459,0.221217459
1886,1803.374,0.45,1874,1803.255493,0.670303975,0.220303975
1113,1313.918,0.482,1105,1313.54388,0.701480904,0.219480904
902,1175.618,0.46,895,1175.905532,0.678098207,0.218098207
1099,1303.194,0.638,1091,1303.076226,0.420888542,0.217111458
903,1176.544,0.926,896,1176.614807,0.709275136,0.216724864
364,835.974,0.844,364,835.7184708,0.631332814,0.212667186
1876,1797.6,0.894,1866,1797.932033,0.68589244,0.20810756
794,1102.77,0.33,787,1102.483864,0.537802027,0.207802027
1887,1803.712,0.338,1875,1803.80109,0.545596259,0.207596259
2129,1962.946,0.526,2115,1962.772251,0.732657833,0.206657833
1823,1763.902,0.646,1813,1764.221978,0.849571317,0.203571317
480,907.038,0.878,483,907.0746672,0.68589244,0.19210756
1848,1780.158,0.37,1837,1780.106624,0.561184723,0.191184723
1753,1715.762,0.394,1744,1715.648323,0.58456742,0.19056742
1837,1772.506,0.452,1826,1772.366951,0.639127046,0.187127046
670,1027.166,0.762,668,1027.214963,0.576773188,0.185226812
669,1026.404,0.72,667,1026.63819,0.904130943,0.184130943
1865,1790.8,0.862,1855,1791.080903,0.678098207,0.183901793
1820,1761.724,0.876,1810,1762.031799,0.693686672,0.182313328
519,931.91,0.656,522,931.9538566,0.833982853,0.177982853
1912,1819.466,0.656,1899,1819.358377,0.833982853,0.177982853
716,1054.85,0.498,713,1055.009196,0.670303975,0.172303975
1766,1724.93,0.5,1758,1724.744192,0.670303975,0.170303975
518,931.254,0.934,521,931.1198737,0.763834762,0.170165238
362,834.41,0.812,362,834.416834,0.646921278,0.165078722
717,1055.676,0.826,714,1055.671705,0.662509743,0.163490257
1867,1791.702,0.468,1856,1791.712235,0.631332814,0.163332814
770,1088.892,0.42,765,1088.5166,0.576773188,0.156773188
1814,1757.192,0.498,1802,1757.004519,0.654715511,0.156715511
881,1161.814,0.78,874,1161.875914,0.623538581,0.156461419
1905,1815.158,0.592,1892,1814.892282,0.436477007,0.155522993
1108,1309.954,0.492,1101,1310.215743,0.646921278,0.154921278
680,1032.968,0.378,677,1032.639749,0.530007794,0.152007794
1775,1731.402,0.598,1766,1731.283553,0.748246298,0.150246298
1109,1310.79,0.836,1102,1310.901635,0.68589244,0.15010756
880,1161.034,0.802,873,1161.252376,0.950896337,0.148896337
1749,1713.64,0.72,1740,1713.434761,0.865159782,0.145159782
1888,1804.114,0.402,1875,1803.80109,0.545596259,0.143596259
1808,1754.31,0.394,1798,1754.29992,0.530007794,0.136007794
947,1204.136,0.532,939,1203.684176,0.397505846,0.134494154
782,1095.576,0.466,776,1095.609352,0.600155885,0.134155885
623,997.59,0.466,623,997.6358519,0.600155885,0.134155885
520,932.846,0.936,523,932.7566625,0.802805924,0.133194076
1782,1736.318,0.476,1772,1736.139359,0.607950117,0.131950117
532,940.324,0.672,535,940.3950101,0.802805924,0.130805924
1754,1716.524,0.762,1746,1716.809663,0.631332814,0.130667186
521,933.254,0.408,524,933.2944645,0.537802027,0.129802027
1102,1305.504,0.892,1094,1305.375525,0.763834762,0.128165238
1133,1326.504,0.55,1125,1326.747309,0.678098207,0.128098207
1134,1327.332,0.828,1126,1327.44879,0.701480904,0.126519096
1967,1855.866,0.508,1954,1855.702882,0.631332814,0.123332814
479,906.16,0.564,482,906.3887747,0.68589244,0.12189244
1104,1307.202,0.502,1097,1307.370848,0.623538581,0.121538581
590,978.354,0.728,593,978.2827732,0.607950117,0.120049883
778,1093.758,0.582,773,1093.918003,0.701480904,0.119480904
779,1094.274,0.516,774,1094.315509,0.397505846,0.118494154
591,978.83,0.476,594,978.8751348,0.592361652,0.116361652
820,1120.8,0.902,814,1120.839281,0.787217459,0.114782541
368,838.53,0.746,369,838.4230694,0.631332814,0.114667186
507,924.766,0.728,510,924.8065456,0.841777085,0.113777085
2183,2000.098,0.542,2169,1999.911768,0.428682775,0.113317225
819,1119.898,0.76,813,1120.052064,0.872954014,0.112954014
537,944.248,0.744,540,944.2921263,0.631332814,0.112667186
536,943.504,0.854,539,943.6607935,0.966484801,0.112484801
1789,1741.586,0.712,1780,1741.836943,0.600155885,0.111844115
1101,1304.612,0.852,1093,1304.61169,0.748246298,0.103753702
1783,1737.104,0.786,1774,1737.402025,0.68589244,0.10010756
776,1092.322,0.598,771,1092.265626,0.498830865,0.099169135
1745,1710.61,0.542,1736,1710.340451,0.639127046,0.097127046
777,1093.176,0.854,772,1093.216522,0.950896337,0.096896337
531,939.652,1.148,534,939.5922042,1.052221356,0.095778644
1791,1743.232,0.516,1782,1743.13858,0.600155885,0.084155885
630,1001.688,0.556,629,1001.821355,0.639127046,0.083127046
